method,session,macro_accuracy,f1_ped,precision,recall,created,run
LogitKD_Adj,Session_6212023,0.6994950771331787,0.28121888637542725,0.1667390614748001,0.897261381149292,2026-06-10T11:42:41Z,kd_logit_adjustment_LOSO_Session_6212023_07:42:18
LogitKD_Adj,Session_6282023,0.6893234252929688,0.2858366370201111,0.16885168850421906,0.930538773536682,2026-06-10T22:11:32Z,kd_logit_adjustment_LOSO_Session_6282023_18:11:08
LogitKD_EMA,Session_5242023,0.7034838199615479,0.28518444299697876,0.17491646111011505,0.7716102600097656,2026-06-07T15:37:14Z,kd_logit_lossnorm_LOSO_Session_5242023_11:36:52
LogitKD_EMA,Session_6012023,0.755433201789856,0.22153261303901672,0.12987342476844788,0.752892017364502,2026-06-08T00:41:39Z,kd_logit_lossnorm_LOSO_Session_6012023_20:41:16
LogitKD_EMA,Session_6072023,0.7569314241409302,0.3442842364311218,0.22196654975414276,0.7668886780738831,2026-06-08T07:46:14Z,kd_logit_lossnorm_LOSO_Session_6072023_03:45:52
LogitKD_EMA,Session_6212023,0.7337693572044373,0.33732879161834717,0.21459418535232544,0.7880373001098633,2026-06-08T15:05:53Z,kd_logit_lossnorm_LOSO_Session_6212023_11:05:30
LogitKD_EMA,Session_6282023,0.7312211394309998,0.33408263325691223,0.20750342309474945,0.8566447496414185,2026-06-09T01:26:34Z,kd_logit_lossnorm_LOSO_Session_6282023_21:25:59
LogitKD_Focal,Session_5242023,0.7014477252960205,0.2782527208328247,0.1685742437839508,0.7964286208152771,2026-06-11T08:10:30Z,kd_logit_focal_kd_LOSO_Session_5242023_04:10:03
LogitKD_Focal,Session_6012023,0.7542257308959961,0.20510409772396088,0.1177673488855362,0.7937591671943665,2026-06-11T17:36:34Z,kd_logit_focal_kd_LOSO_Session_6012023_13:36:11
LogitKD_Focal,Session_6072023,0.7541823387145996,0.32769447565078735,0.20623673498630524,0.7971622943878174,2026-06-12T00:56:39Z,kd_logit_focal_kd_LOSO_Session_6072023_20:56:15
LogitKD_Focal,Session_6212023,0.730739414691925,0.3272860050201416,0.2050170749425888,0.8108845353126526,2026-06-12T11:10:21Z,kd_logit_focal_kd_LOSO_Session_6212023_07:09:56
LogitKD_Focal,Session_6282023,0.7246755957603455,0.32469847798347473,0.1996351927518845,0.8692449927330017,2026-06-12T22:01:10Z,kd_logit_focal_kd_LOSO_Session_6282023_18:00:48
LogitKD_TFD,Session_6012023,0.7490599751472473,0.23659931123256683,0.14232833683490753,0.7007207274436951,2026-04-27T02:46:36Z,kd_logit_unw_tfd_LOSO_Session_6012023_22:46:14
LogitKD_TFD,Session_6072023,0.7566088438034058,0.3594460189342499,0.23791936039924624,0.7347467541694641,2026-04-27T12:17:30Z,kd_logit_unw_tfd_LOSO_Session_6072023_08:16:14
LogitKD_TFD,Session_6282023,0.7391334772109985,0.3563474714756012,0.2287900149822235,0.8053608536720276,2026-04-28T09:09:17Z,kd_logit_unw_tfd_LOSO_Session_6282023_05:08:40
